id,name,year,group,group_name,status,birth_date,birth_place,gender,alma_mater,undergraduate_major,graduate_major,military_rank,military_force,space_flights_number_of,space_flight_total_hours,space_walks_number_of,space_walks_total_hours,missions,death_date,death_mission
99,Margaret Rhea Seddon,1978,8,Thirty-Five New Guys,Retired,11/8/1947,"Murfreesboro, TN",Female,University of California-Berkeley; University of Tennessee,Physiology,Medicine,,,3,722,0,0,"STS 51-D (Discovery), STS-40 (Columbia), STS-58 (Columbia)",,
100,Brewster H. Shaw Jr. ,1978,8,Thirty-Five New Guys,Retired,5/16/1945,"Cass City, MI",Male,University of Wisconsin,Engineering Mechanics,Engineering Mechanics,Colonel,US Air Force (Retired),3,533,0,0,"STS-9 (Columbia), STS 61-B (Atlantis), STS-28 (Columbia)",,
101,Loren J. Shriver,1978,8,Thirty-Five New Guys,Retired,9/23/1944,"Jefferson, IA",Male,US Air Force Academy; Purdue University,Aeronautical Engineering,Astronautical Engineering,Colonel,US Air Force (Retired),3,386,0,0,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)",,
102,Robert L. Stewart,1978,8,Thirty-Five New Guys,Retired,8/13/1942,"Washington, DC",Male,University of Southern Mississippi; University of Texas-Arlington,Mathematics,Aerospace Engineering,Brigadier General,US Army (Retired),2,289,2,12,"STS 41-B (Challenger), STS 51-J (Atlantis)",,
103,Kathryn D. Sullivan,1978,8,Thirty-Five New Guys,Retired,10/3/1951,"Patterson, NJ",Female,University of California-Santa Cruz; Dalhousie University,Earth Sciences,Earth Sciences; Geology,,,3,532,1,3,"STS 41-G (Challenger), STS-31 (Discovery), STS-45 (Atlantis)",,
104,Norman E. Thagard,1978,8,Thirty-Five New Guys,Retired,7/3/1943,"Marianna, FL",Male,Florida State University; University of Texas,Engineering Science,Engineering Science; Medicine,,,5,3373,0,0,"STS-7 (Challenger), STS 51-B (Challenger), STS-30 (Atlantis), STS-42 (Discovery), STS-71 (Soyuz/Atlantis)",,
105,James D. van Hoften,1978,8,Thirty-Five New Guys,Retired,6/11/1944,"Fresno, CA",Male,University of California-Berkeley; Colorado State University,Civil Engineering,Hydraulic Engineering; Fluid Mechanics,,,2,338,4,22,"STS 41-C (Challenger), STS 51-I (Discovery)",,
106,David M. Walker,1978,8,Thirty-Five New Guys,Deceased,5/20/1944,"Columbus, GA",Male,US Naval Academy,Naval Sciences,,Captain,US Navy (Retired),4,724,0,0,"STS 51-A (Discovery), STS-30 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor)",4/23/2001,
107,Donald E. Williams,1978,8,Thirty-Five New Guys,Deceased,2/13/1958,"Lafayette, IN",Male,Purdue University,Mechanical Engineering,,Captain,US Navy (Retired),2,287,0,0,"STS 51-D (Discovery), STS-34 (Atlantis)",2/23/2016,
108,James P. Bagian,1980,9,19+80,Retired,2/22/1952,"Philadelphia, PA",Male,Drexel University; Thomas Jefferson University,Mechanical Engineering,Medicine,,,2,337,0,0,"STS-29 (Discovery), STS-40 (Columbia)",,
109,John E. Blaha,1980,9,19+80,Retired,8/26/1942,"San Antonio, TX",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautical Engineering,Colonel,US Air Force (Retired),5,3861,0,0,"STS-29 (Discovery), STS-33 (Discovery), STS-43 (Atlantis), STS-58 (Columbia), STS-79/81 (Atlantis/Atlantis)",,
110,Charles F. Bolden Jr. ,1980,9,19+80,Retired,8/19/1946,"Columbia, SC",Male,US Naval Academy; University of Southern California,Electrical Science,Systems Management,Major General,US Marine Corps (Retired),4,680,0,0,"STS-61C (Columbia), STS-31 (Discovery), STS-45 (Atlantis), STS-60 (Discovery)",,
111,Roy D. Bridges Jr. ,1980,9,19+80,Retired,7/19/1943,"Atlanta, GA",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautics,Major General,US Air Force (Retired),1,190,0,0,STS 51-F (Challenger),,
112,Franklin R. Chang-Diaz,1980,9,19+80,Retired,4/5/1950,"San Jose, Costa Rica",Male,University of Connecticut; MIT,Mechanical Engineering,Applied Plasma Physics,,,7,1602,3,19,"STS 61-C (Columbia), STS-34 (Atlantis), STS-46 (Atlantis), STS-60 (Discovery), STS-75 (Columbia), STS-91 (Discovery), STS-111 (Endeavor)",,
113,Mary L. Cleave,1980,9,19+80,Retired,2/5/1947,"Southampton, NY",Female,Colorado State University; Utah State University,Biological Science,Microbial Ecology; Environmental Engineering,,,2,262,0,0,"STS 61-B (Atlantis), STS-30 (Atlantis)",,
114,Bonnie J. Dunbar,1980,9,19+80,Retired,3/3/1949,"Sunnyside, WA",Female,University of Washington; University of Houston,Ceramic Engineering,Ceramic Engineering; Biomedical Engineering,,,5,1207,0,0,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)",,
115,William F. Fisher,1980,9,19+80,Retired,4/1/1946,"Dallas, TX",Male,Stanford University; University of Houston; University of Florida,,Engineering; Medicine,,,1,170,2,12,STS 51-I (Discovery),,
116,Guy S. Gardner,1980,9,19+80,Retired,1/6/1948,"Alta Vista, VA",Male,US Air Force Academy; Purdue University,Engineering Sciences; Astronautics & Mathematics,Astronautics,Colonel,US Air Force (Retired),2,320,0,0,"STS-27 (Atlantis), STS-35 (Columbia)",,
117,Ronald J. Grabe,1980,9,19+80,Retired,6/13/1945,"New York, NY",Male,US Air Force Academy,Engineering Science,,Colonel,US Air Force (Retired),4,627,0,0,"STS 51-J (Atlantis), STS-30 (Atlantis), STS-42 (Discovery), STS-57 (Endeavor)",,
118,David C. Hilmers,1980,9,19+80,Retired,1/28/1950,"Clinton, IA",Male,Cornell University; US Naval Postgraduate School,Mathematics,Electrical Engineering,Colonel,US Marine Corps (Retired),4,494,0,0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",,
119,David C. Leestma,1980,9,19+80,Retired,5/6/1949,"Muskegon, MI",Male,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,532,1,3,"STS 41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)",,
120,J. Mike Lounge,1980,9,19+80,Deceased,6/28/1946,"Denver, CO",Male,US Naval Academy; University of Colorado,Mathematics & Physics,Astrogeophysics,,,3,483,0,0,"STS 51-I (Discovery), STS-26 (Discovery), STS-35 (Columbia)",3/1/2011,
121,Bryan D. O'Connor,1980,9,19+80,Retired,9/6/1946,"Orange, CA",Male,US Naval Academy; West Florida University,Engineering,Aeronautical Systems,Colonel,US Marine Corps (Retired),2,383,0,0,"STS 61-B (Atlantis), STS-40 (Columbia)",,
122,Richard N. Richards,1980,9,19+80,Retired,8/24/1946,"Key West, FL",Male,University of Missouri; University of West Florida,Chemical Engineering,Aeronautical Systems,Captain,US Navy (Retired),4,813,0,0,"STS-28 (Columbia), STS-41 (Discovery), STS-50 (Columbia), STS-64 (Discovery)",,
123,Jerry L. Ross,1980,9,19+80,Retired,1/20/1948,"Crown Point, IN",Male,Purdue University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),7,1393,9,58,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (Atlantis), STS-55 (Columbia), STS-74 (Atlantis), STS-88 (Endeavor), STS-110 (Atlantis)",,
124,Michael J. Smith,1980,9,19+80,Deceased,4/30/1945,"Beaufort, NC",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Aeronautical Engineering,Captain,US Navy,1,0,0,0,STS 51-L (Challenger),1/28/1986,STS 51-L (Challenger)
125,Sherwood C. Spring,1980,9,19+80,Retired,9/23/1944,"Hartford, CT",Male,US Military Academy; University of Arizona,Engineering,Aerospace Engineering,Colonel,US Army (Retired),1,165,2,12,STS 61-B (Atlantis),,
126,Robert C. Springer,1980,9,19+80,Retired,5/21/1942,"St. Louis, MO",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Operations Research,Colonel,US Marine Corps (Retired),2,237,0,0,"STS-29 (Discovery), STS-38 (Atlantis)",,
127,James C. Adamson,1984,10,The Maggots,Retired,3/3/1946,"Warsaw, NY",Male,US Military Academy; Princeton University,Engineering,Aerospace Engineering,Colonel,US Army (Retired),2,334,0,0,"STS-28 (Columbia), STS-43 (Atlantis)",,
128,Ellen S. Baker,1984,10,The Maggots,Retired,4/27/1953,"Fayettesville, NC",Female,State University of New York-Buffalo; Cornell University; University of Texas,Geology,Medicine; Public Health,,,3,686,0,0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (Atlantis)",,
129,Mark N. Brown,1984,10,The Maggots,Retired,11/18/1951,"Valparaiso, IN",Male,Purdue University; Air Force Institute of Technology,Aeronautical & Astronautical Engineering,Astronautical Engineering,Colonel,US Air Force (Retired),2,249,0,0,"STS 28 (Columbia), STS-48 (Discovery)",,
130,Kenneth D. Cameron,1984,10,The Maggots,Retired,11/29/1949,"Cleveland, OH",Male,MIT; Michigan State University,Aeronautics & Astronautics,Aeronautics & Astronautics; Business Administration,Colonel,US Marine Corps (Retired),3,562,0,0,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)",,
131,Manley Lanier Carter Jr. ,1984,10,The Maggots,Deceased,8/15/1947,"Macon, GA",Male,Emory University,Chemistry,Medicine,Captain,US Navy,1,120,0,0,STS-33 (Discovery),4/5/1991,
132,John H. Casper,1984,10,The Maggots,Retired,7/9/1943,"Greenville, SC",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautics,Colonel,US Air Force (Retired),4,825,0,0,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)",,
133,Frank L. Culbertson Jr. ,1984,10,The Maggots,Retired,5/15/1949,"Charleston, SC",Male,US Naval Academy,Aerospace Engineering,,Captain,US Navy (Retired),3,3446,1,5,"STS-38 (Atlantis), STS-51 (Discovery), STS-105/108 (Discovery/Endeavor)",,
134,Sidney M. Gutierrez,1984,10,The Maggots,Retired,6/27/1951,"Albuquerque, NM",Male,US Air Force Academy; Webster College,Aeronautical Engineering,Business Management,Colonel,US Air Force (Retired),2,488,0,0,"STS-40 (Columbia), STS-59 (Endeavor)",,
135,L. Blaine Hammond Jr. ,1984,10,The Maggots,Retired,1/16/1952,"Savannah, GA",Male,US Air Force Academy; Georgia Institute of Technology,Engineering Science,Engineering Science,Colonel,US Air Force (Retired),2,462,0,0,"STS-39 (Discovery), STS-64 (Discovery)",,
136,Marsha S. Ivins,1984,10,The Maggots,Retired,4/15/1951,"Baltimore, MD",Female,University of Colorado,Aerospace Engineering,,,,5,1341,0,0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)",,
137,Mark C. Lee,1984,10,The Maggots,Retired,8/14/1952,"Viroqua, WI",Male,US Air Force Academy; MIT,Civil Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),4,789,4,26,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (Discovery), STS-82 (Discovery)",,
138,G. David Low,1984,10,The Maggots,Deceased,2/19/1956,"Cleveland, OH",Male,Washington & Lee University; Cornell University; Stanford University,Physics & Engineering,Mechanical Engineering; Aeronautics & Astronautics,,,3,714,1,6,"STS-32 (Columbia), STS-43 (Atlantis), STS-57 (Endeavor)",3/15/2008,
139,Michael J. McCulley,1984,10,The Maggots,Retired,8/4/1943,"San Diego, CA",Male,Purdue University,Metallurgical Engineering,Metallurgical Engineering,Captain,US Navy (Retired),1,119,0,0,STS-34 (Atlantis),,
141,William M. Shepherd,1984,10,The Maggots,Retired,7/26/1949,"Oak Ridge, TN",Male,US Naval Academy; MIT,Aerospace Engineering,Mechanical  Engineering,Captain,US Navy (Retired),4,3823,0,0,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 (Columbia), ISS-01/STS-102 (Soyuz/Discovery)",,
142,Kathryn C. Thornton,1984,10,The Maggots,Retired,8/17/1952,"Montgomery, AL",Female,Auburn University; University of Virginia,Physics,Physics,,,4,975,3,21,"STS-33 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-73 (Columbia)",,
143,Charles Lacy Veach,1984,10,The Maggots,Deceased,9/18/1944,"Chicago, IL",Male,US Air Force Academy,Engineering Management,,,,2,436,0,0,"STS-39 (Discovery), STS-52 (Columbia)",10/3/1995,
144,James D. Wetherbee,1984,10,The Maggots,Retired,11/27/1952,"Flushing, NY",Male,University of Notre Dame,Aerospace Engineering,,Captain,US Navy (Retired),6,1594,0,0,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (Discovery), STS-86 (Atlantis), STS-102 (Discovery), STS-113 (Endeavor)",,
145,Jerome Apt III ,1985,11,,Retired,4/18/1949,"Springfield, MA",Male,Harvard University; MIT,Physics,Physics,,,4,847,2,11,"STS-37 (Atlantis), STS-47 (Endeavor), STS-59 (Endeavor), STS-79 (Atlantis)",,
146,Michael A. Baker,1985,11,,Retired,10/27/1953,"Memphis, TN",Male,University of Texas,Aerospace Engineering,,Captain,US Navy (Retired),4,965,0,0,"STS-43 (Atlantis), STS-52 (Columbia), STS-68 (Endeavor), STS-81 (Atlantis)",,
147,Robert D. Cabana,1985,11,,Management,1/23/1949,"Minneapolis, MN",Male,US Naval Academy,Mathematics,,Colonel,US Marine Corps (Retired),4,910,0,0,"STS-41 (Discovery), STS-53 (Discovery), STS-65 (Columbia), STS-88 (Endeavor)",,
148,Brian Duffy,1985,11,,Retired,6/20/1953,"Boston, MA",Male,US Air Force Academy; University of Southern California,Mathematics,Systems Management,Colonel,US Air Force (Retired),4,977,0,0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",,
149,Charles D. Gemar,1985,11,,Retired,8/4/1955,"Yanktown, SD",Male,US Military Academy,Engineering,,Lieutenant Colonel,US Army,3,581,0,0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",,
150,Linda M. Godwin,1985,11,,Retired,7/2/1952,"Cape Girardeau, MO",Female,Southeast Missouri State; University of Missouri,Mathematics & Physics,Physics,,,4,918,2,10,"STS-37 (Atlantis), STS-59 (Endeavor), STS-76 (Atlantis), STS-108 (Endeavor)",,
151,Terence T. Henricks,1985,11,,Retired,7/5/1952,"Bryan, OH",Male,US Air Force Academy; Golden Gate University,Civil Engineering,Public Administration,Colonel,US Air Force (Retired),4,1026,0,0,"STS-44 (Atlantis), STS-55 (Columbia), STS-70 (Discovery), STS-78 (Columbia)",,
152,Richard J. Hieb,1985,11,,Retired,9/21/1955,"Jamestown, ND",Male,Northwest Nazarene College; University of Colorado,Mathematics & Physics,Aerospace Engineering,,,3,766,3,18,"STS-39 (Discovery), STS-49 (Endeavor), STS-65 (Columbia)",,
153,Tamara E. Jernigan,1985,11,,Retired,5/7/1959,"Chattanooga, TN",Female,Stanford University; University of California-Berkeley; Rice University,Physics,Engineering Science; Astronomy,,,5,1489,1,8,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (Endeavor), STS-80 (Columbia), STS-98 (Discovery)",,
154,Carl J. Meade,1985,11,,Retired,11/16/1950,"Chanute Air Force Base, IL",Male,University of Texas; California Institute of Technology,Electronics Engineering,Electronics Engineering,Colonel,US Air Force (Retired),3,712,1,6,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (Discovery)",,
155,Stephen S. Oswald,1985,11,,Retired,6/30/1951,"Seattle, WA",Male,US Naval Academy,Aerospace Engineering,,,,3,814,0,0,"STS-42 (Discovery), STS-56 (Discovery), STS-67 (Endeavor)",,
156,Stephen D. Thorne,1985,11,,Deceased,2/11/1953,"Frankfurt, West Germany",Male,US Naval Academy,Engineering,,Lieutenant Commander,US Navy,0,0,0,0,,5/24/1986,
157,Pierre J. Thuot,1985,11,,Retired,5/19/1955,"Groton, CT",Male,US Naval Academy; University of Southern California,Physics,Systems Management,Commander,US Navy,3,654,3,17,"STS-36 (Atlantis), STS-49 (Endeavor), STS-62 (Columbia)",,
158,Thomas D. Akers,1987,12,The GAFFers,Retired,5/20/1951,"St. Louis, MO",Male,University of Missouri-Rolla,Applied Mathematics,Applied Mathematics,Colonel,US Air Force (Retired),4,814,4,29,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)",,
159,Andrew M. Allen,1987,12,The GAFFers,Retired,8/4/1955,"Philadelphia, PA",Male,Villanova University; University of Florida,Mechanical Engineering,Business Administration,Lieutenant Colonel,US Marine Corps (Retired),3,906,0,0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)",,
160,Kenneth D. Bowersox,1987,12,The GAFFers,Retired,11/14/1956,"Portsmouth, VA",Male,US Naval Academy; Columbia University,Aerospace Engineering,Mechanical Engineering,Captain,US Navy (Retired),5,5078,2,13,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (Columbia), STS-82 (Discovery), STS-113 (Endeavor/Soyuz)",,
161,Curtis L. Brown Jr. ,1987,12,The GAFFers,Retired,3/11/1956,"Elizabethtown, NC",Male,US Air Force Academy,Electrical Engineering,,Colonel,US Air Force (Retired),6,1383,0,0,"STS-47 (Endeavor), STS-66 (Atlantis), STS-77 (Endeavor), STS-85 (Discovery), STS-95 (Discovery), STS-103 (Discovery)",,
162,Kevin P. Chilton,1987,12,The GAFFers,Retired,3/11/1954,"Los Angeles, CA",Male,US Air Force Academy; Columbia University,Engineering Science,Mechanical Engineering,Brigadier General,US Air Force (Retired),3,700,0,0,"STS-49 (Endeavor), STS-59 (Endeavor), STS-76 (Atlantis)",,
163,N. Jan Davis,1987,12,The GAFFers,Retired,11/1/1953,"Cocoa Beach, FL",Female,Georgia Institute of Technology; Auburn University; University of Alabama-Huntsville,Applied Biology; Mechanical Engineering,Mechanical Engineering,,,3,673,0,0,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 (Discovery)",,
164,C. Michael Foale,1987,12,The GAFFers,Retired,1/6/1957,"Louth, England",Male,Cambridge University,Physics,Laboratory Astrophysics,,,6,8970,4,22,"STS-45 (Atlantis), STS-56 (Discovery), STS-63 (Discovery), STS-84/86 (Atlantis), STS-103 (Discovery), ISS-08 (Soyuz)",,
165,Gregory J. Harbaugh,1987,12,The GAFFers,Retired,4/15/1956,"Cleveland, OH",Male,Purdue University; University of Houston-Clear Lake,Aeronautical & Astronautical Engineering,Physical Science,,,4,817,3,18,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",,
166,Mae C. Jemison,1987,12,The GAFFers,Retired,10/17/1956,"Decatur, AL",Female,Stanford University; Cornell University,Chemical Engineering,Medicine,,,1,190,0,0,STS-47 (Endeavor),,
167,Donald R. McMonagle,1987,12,The GAFFers,Retired,5/14/1952,"Flint, MI",Male,US Air Force Academy; California State University-Fresno,Astronautical Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),3,605,0,0,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)",,
168,Bruce E. Melnick,1987,12,The GAFFers,Retired,12/5/1949,"New York, NY",Male,US Coast Guard Academy; West Florida University,Engineering,Aeronautical Systems,Commander,US Coast Guard (Retired),2,311,0,0,"STS-41 (Discovery), STS-49 (Endeavor)",,
169,William F. Readdy,1987,12,The GAFFers,Retired,1/24/1952,"Quonset Point, RI",Male,US Naval Academy,Aerospace Engineering,,Captain,US Navy (Retired),3,672,0,0,"STS-42 (Discovery), STS-51 (Discovery), STS-79 (Atlantis)",,
170,Kenneth S. Reightler Jr. ,1987,12,The GAFFers,Retired,3/24/1951,"Patuxent River, MD",Male,US Naval Academy; US Naval Postgraduate School; University of Southern California,Aerospace Engineering,Aeronautical Engineering; Systems Management,Captain,US Navy (Retired),2,327,0,0,"STS-48 (Discovery), STS-60 (Discovery)",,
171,Mario Runco Jr. ,1987,12,The GAFFers,Retired,1/26/1952,"Bronx, NY",Male,City College of New York; Rutgers University,Earth & Planetary Science,Atmospheric Physics,Lieutenant Commander,US Navy (Retired),3,551,0,0,"STS-44 (Atlantis), STS-54 (Endeavor), STS-77 (Endeavor)",04/23/01,
172,James S. Voss,1987,12,The GAFFers,Retired,3/3/1949,"Cordova, AL",Male,Auburn University; University of Colorado,Aerospace Engineering,Aerospace Engineering Sciences,Colonel,US Army (Retired),5,4853,4,22,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor), STS-101 (Atlantis), STS-102/105 (Discovery)",,
173,Daniel W. Bursch,1990,13,The Hairballs,Retired,7/25/1957,"Bristol, PA",Male,US Naval Academy; US Naval Postgraduate School,Physics,Engineering Science,Captain,US Navy (Retired),4,5446,2,12,"STS-51 (Discovery), STS-68 (Endeavor), STS-77 (Endeavor), STS-108/111 (Endeavor)",,
174,Leroy Chiao,1990,13,The Hairballs,Retired,8/28/1960,"Milwaukee, WI",Male,University of California-Berkeley; University of California-Santa Barbara,Chemical Engineering,Chemical Engineering,,,4,5503,6,36,"STS-65 (Columbia), STS-72 (Endeavor), STS-92 (Discovery), ISS-10 (Soyuz)",,
175,Michael R. Clifford,1990,13,The Hairballs,Retired,10/13/1952,"San Bernardino, CA",Male,US Military Academy; Georgia Institute of Technology,,Aerospace Engineering,Lieutenant Colonel,US Army (Retired),3,666,1,6,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",,
176,Kenneth D. Cockrell,1990,13,The Hairballs,Retired,4/9/1950,"Austin, TX",Male,University of Texas; University of West Florida,Mechanical Engineering,Aeronautical Systems,,US Naval Reserves,5,1548,0,0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)",,
177,Eileen M. Collins,1990,13,The Hairballs,Retired,11/19/1959,"Elmira, NY",Female,Syracuse University; Stanford University; Webster University,Mathematics & Economics,Operations Research; Space Systems Management,Colonel,US Air Force (Retired),4,890,0,0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)",,
178,Nancy J. Currie,1990,13,The Hairballs,Retired,12/29/1958,"Wilmington, DE",Female,Ohio State University; University of Southern California; University of Houston,Biological Science,Safety Engineering; Industrial Engineering,Colonel,US Army (Retired),4,999,0,0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",,
179,William G. Gregory,1990,13,The Hairballs,Retired,5/14/1957,"Lockport, NY",Male,US Air Force Academy; Columbia University; Troy State University,Engineering Science,Engineering Mechanics; Business Management,Lieutenant Colonel,US Air Force,1,399,0,0,STS-67 (Endeavor),,
180,James D. Halsell Jr. ,1990,13,The Hairballs,Retired,9/29/1956,"Monroe, LA",Male,US Air Force Academy; Troy State University; US Air Force Institute of Technology,Engineering,Business Management; Space Operations,Colonel,US Air Force (Retired),5,1258,0,0,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (Columbia), STS-94 (Columbia), STS-101 (Atlantis)",,
181,Bernard A. Harris Jr. ,1990,13,The Hairballs,Retired,6/26/1956,"Temple, TX",Male,University of Houston; Texas Tech University,Biology,Medicine,,,2,438,1,5,"STS-55 (Columbia), STS-63 (Discovery)",,
182,Susan J. Helms,1990,13,The Hairballs,Retired,2/26/1958,"Charlotte, NC",Female,US Air Force Academy; Stanford University,Aeronautical Engineering,Aeronautics & Astronautics,Lieutenant General,US Air Force,5,5063,1,9,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)",,
183,Thomas D. Jones,1990,13,The Hairballs,Retired,1/22/1955,"Baltimore, MD",Male,US Air Force Academy; University of Arizona,,Planetary Science,,,4,1272,3,20,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)",,
184,William S. McArthur Jr. ,1990,13,The Hairballs,Retired,7/26/1951,"Laurinburg, NC",Male,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army (Retired),4,5398,4,24,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), ISS-12 (Soyuz)",,
185,James H. Newman,1990,13,The Hairballs,Retired,10/16/1956,"San Diego, CA",Male,Dartmouth College; Rice University,Physics,Physics,,,4,1042,6,43,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)",,
186,Ellen Ochoa,1990,13,The Hairballs,Retired,5/10/1958,"Los Angeles, CA",Female,San Diego State University; Stanford University,Physics,Electrical Engineering,,,4,979,0,0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)",,
187,Charles J. Precourt,1990,13,The Hairballs,Retired,6/29/1955,"Waltham, MA",Male,US Air Force Academy; Golden Gate University; US Naval War College,Aeronautical Engineering,Engineering Management; Strategic Studies,Colonel,US Air Force (Retired),4,950,0,0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",,
