id,name,year,group,group_name,status,birth_date,birth_place,gender,alma_mater,undergraduate_major,graduate_major,military_rank,military_force,space_flights_number_of,space_flight_total_hours,space_walks_number_of,space_walks_total_hours,missions,death_date,death_mission
275,Michael J. Foreman,1998,17,The Penguins,Retired,3/29/1957,"Columbus, OH",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,637,5,32,"STS-123 (Endeavor), STS-129 (Atlantis)",,
276,Michael E. Fossum,1998,17,The Penguins,Retired,12/19/1957,"Sioux Falls, SD",Male,Texas A&M University; Air Force Institute of Technology; University of Houston-Clear Lake,Mechanical Engineering,Systems Engineering; Physical Science (Space Science),,US Air Force Reserves (Retired),3,4651,7,48,"STS-121 (Discovery), STS-124 (Discovery), ISS-28/29 (Soyuz)",,
277,Kenneth T. Ham,1998,17,The Penguins,Retired,12/12/1964,"Plainfield, NJ",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,612,0,0,"STS-124 (Discovery), STS-132 (Atlantis)",,
278,Gregory C. Johnson,1998,17,The Penguins,Retired,7/30/1954,"Seattle, WA",Male,University of Washington,Aerospace Engineering,,Captain,US Navy (Retired),1,309,0,0,STS-125 (Atlantis),,
279,Gregory H. Johnson,1998,17,The Penguins,Retired,5/12/1962,"London, England",Male,US Air Force Academy; Columbia University; University of Texas,Aeronautical Engineering,Flight Structures Engineering; Business Administration,Colonel,US Air Force (Retired),2,755,0,0,"STS-123 (Endeavor), STS-134 (Endeavor)",,
280,Stanley G. Love,1998,17,The Penguins,Management,6/8/1965,"San Diego, CA",Male,Harvey Mudd College; University of Washington,Physics,Astronomy,,,1,306,2,15,STS-122 (Atlantis),,
281,Leland D. Melvin,1998,17,The Penguins,Retired,2/15/1964,"Lynchburg, VA",Male,University of Richmond; University of Virginia,Chemistry,Materials Science Engineering,,,2,565,0,0,"STS-122 (Atlantis), STS-129 (Atlantis)",,
282,Barbara R. Morgan,1998,17,The Penguins,Retired,11/28/1951,"Fresno, CA",Female,Stanford University,Human Biology,,,,1,305,0,0,STS-118 (Endeavor),,
283,William A. Oefelein,1998,17,The Penguins,Retired,3/29/1965,"Ft. Belvoir, VA",Male,Oregon State University; University of Tennessee,Electrical Engineering,Aviation Systems,Commander,US Navy (Retired),1,308,0,0,STS-116 (Discovery),,
284,John D. Olivas,1998,17,The Penguins,Retired,5/25/1966,"North Hollywood, CA",Male,University of Texas-El Paso; University of Houston; Rice University,Mechanical Engineering,Mechanical  Engineering; Mechanical  Engineering & Materials Science,,,2,665,5,34,"STS-117 (Atlantis), STS-128 (Discovery)",,
285,Niclolas J. M. Patrick,1998,17,The Penguins,Retired,3/22/1964,"North Yorkshire, England",Male,University of Cambridge; MIT,Engineering,Engineering; Mechanical Engineering,,,2,638,3,18,"STS-116 (Discovery), STS-130 (Endeavor)",,
286,Alan G. Poindexter,1998,17,The Penguins,Deceased,11/5/1961,"Pasadena, CA",Male,Georgia Institute of Technology; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,669,0,0,"STS-122 (Atlantis), STS-131 (Discovery)",7/1/2012,
287,Garrett E. Reisman,1998,17,The Penguins,Retired,2/10/1968,"Morristown, NJ",Male,University of Pennsylvania; California Institute of Technology,Economics,Mechanical  Engineering,,,2,2571,3,21,"STS-123/124 (Endeavor/Discovery), STS-132 (Atlantis)",,
288,Patricia Hilliard Robertson,1998,17,The Penguins,Deceased,3/12/1963,"Indiana, PA",Female,Indiana University of Pennsylvania; Medical College of Pennsylvania,Biology,Medicine,,,0,0,0,0,,5/24/2001,
289,Steven R. Swanson,1998,17,The Penguins,Retired,12/3/1960,"Syracuse, NY",Male,University of Colorado; Florida Atlantic University; Texas A&M University,Engineering Physics,Computer Systems; Computer Science,,,3,4700,5,28,"STS-117 (Atlantis), STS-119 (Discovery), ISS-39/40 (Soyuz)",,
290,Douglas H. Wheelock,1998,17,The Penguins,Active,5/5/1960,"Binghamton, NY",Male,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army,2,4281,6,43,"STS-120 (Discovery), ISS-24/25 (Soyuz)",,
291,Sunita L. Williams,1998,17,The Penguins,Active,9/19/1965,"Euclid, OH",Female,US Naval Academy; Florida Institute of Technology,Physical Science,Engineering Management,Captain,US Navy,2,7721,7,50,"STS-116/117 (Discovery/Atlantis), ISS-32/33 (Soyuz)",,
292,Neil W. Woodward III ,1998,17,The Penguins,Retired,7/26/1962,"Chicago, IL",Male,MIT; University of Texas-Austin; George Washington University,Physics,Physics; Business Management,Commander,US Navy,0,0,0,0,,,
293,George D. Zamka,1998,17,The Penguins,Retired,6/29/1962,"Jersey City, NJ",Male,US Naval Academy; Florida Institute of Technology,Mathematics,Engineering Management,Colonel,US Marine Corps (Retired),2,692,0,0,"STS-120 (Discovery), STS-130 (Endeavor)",,
294,Dominic A. Antonelli,2000,18,The Bugs,Retired,8/23/1967,"Detroit, MI",Male,MIT; University of Washington,Aeronautics & Astronautics,Aeronautics & Astronautics,Commander,US Navy,2,579,0,0,"STS-119 (Discovery), STS-132 (Atlantis)",,
295,Michael R. Barratt,2000,18,The Bugs,Active,4/16/1959,"Vancouver, WA",Male,University of Washington; Northwestern University; Wright State University,Zoology,Medicine; Aerospace Medicine,,,2,5075,1,5,"ISS-19/20 (Soyuz), STS-133 (Discovery)",,
296,Robert L. Behnken,2000,18,The Bugs,Active,7/28/1970,"Creve Couer, MO",Male,Washington University; California Institute of Technology,Physics & Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force,2,708,6,37,"STS-123 (Endeavor), STS-130 (Endeavor)",,
297,Eric A. Boe,2000,18,The Bugs,Active,10/1/1964,"Miami, FL",Male,US Air Force Academy; Georgia Institute of Technology,Aeronautical Engineering,Electrical Engineering,Colonel,US Air Force,2,687,0,0,"STS-126 (Endeavor), STS-133 (Discovery)",,
298,Stephen G. Bowen,2000,18,The Bugs,Active,2/13/1964,"Cohasset, MA",Male,US Naval Academy; MIT,Electrical Engineering,Ocean Engineering,Captain,US Navy,3,970,7,47,"STS-126 (Endeavor), STS-132 (Atlantis), STS-133 (Discovery)",,
299,Alvin B. Drew Jr. ,2000,18,The Bugs,Active,11/5/1962,"Washington, DC",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Physics & Astronautical Engineering,Aerospace Science; Political Science,Colonel,US Air Force,2,613,2,13,"STS-118 (Endeavor), STS-133 (Discovery)",,
300,Andrew J. Feustel,2000,18,The Bugs,Active,8/25/1965,"Lancaster, PA",Male,Purdue University; Queens University-Canada,Solid Earth Sciences,Geophysics; Seismology,,,3,5424,7,48,"STS-125 (Atlantis), STS-134 (Endeavor); ISS-55/56 (Soyuz)",,
301,Kevin A. Ford,2000,18,The Bugs,Retired,7/7/1960,"Portland, IN",Male,University of Notre Dame; Troy State University; University of Florida; Air Force Institute of Technology,Aerospace Engineering,International Relations; Aerospace Engineering; Astronautical Engineering,Colonel,US Air Force (Retired),2,3781,0,0,"STS-128 (Discovery), ISS-33/34 (Soyuz)",,
302,Ronald J. Garan Jr. ,2000,18,The Bugs,Retired,10/20/1961,"Yonkers, NY",Male,State University of New York; Embry-Riddle Aeronautical University; University of Florida,Business Economics,Aeronautics; Aerospace Engineering,Colonel,US Air Force (Retired),2,4271,4,27,"STS-124 (Discovery), ISS-27/28 (Soyuz)",,
303,Michael T. Good,2000,18,The Bugs,Management,10/13/1962,"Parma, OH",Male,University of Notre Dame,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,592,4,30,"STS-125 (Atlantis), STS-132 (Atlantis)",,
304,Douglas G. Hurley,2000,18,The Bugs,Active,10/21/1966,"Endicott, NY",Male,Tulane University,Civil Engineering,,Colonel,US Marine Corps,2,683,0,0,"STS-127 (Endeavor), STS-135 (Atlantis)",,
305,Timothy L. Kopra,2000,18,The Bugs,Retired,4/9/1963,"Austin, TX",Male,US Military Academy; Georgia Institute of Technology; US Army War College,Computer Science,Aerospace Engineering; Strategic Studies,Colonel,US Army (Retired),2,5857,3,13,"STS-127/128 (Endeavor/Discovery), ISS-46/47 (Soyuz)",,
306,K. Megan McArthur,2000,18,The Bugs,Active,8/30/1971,"Honolulu, HI",Female,University of California-Los Angeles; University of California-San Diego,Aerospace Engineering,Oceanography,,,1,309,0,0,STS-125 (Atlantis),,
307,Karen L. Nyberg,2000,18,The Bugs,Retired,10/7/1969,"Parkers Prairie, MN",Female,University of North Dakota; University of Texas,Mechanical Engineering,Mechanical Engineering,,,2,4320,0,0,"STS-124 (Discovery), ISS-36/37 (Soyuz)",,
308,Nicole P. Stott,2000,18,The Bugs,Retired,11/19/1962,"Albany, NY",Female,Embry-Riddle Aeronautical University; University of Central Florida,Aeronautical Engineering,Engineering Management,,,2,2477,1,6,"STS-128/129 (Discovery/Atlantis), STS-133 (Discovery)",,
309,Terry W. Virts Jr. ,2000,18,The Bugs,Retired,12/1/1967,"Baltimore, MD",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Mathematics,Aeronautics,Colonel,US Air Force,2,5122,3,18,"STS-130 (Endeavor), ISS-42/43 (Soyuz)",,
310,Barry E. Wilmore,2000,18,The Bugs,Active,12/29/1962,"Murfreesboro, TN",Male,Tennessee Technological University; University of Tennessee,Electrical Engineering,Electrical Engineering; Aviation Systems,Captain,US Navy,2,4272,4,25,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",,
311,Joseph M. Acaba,2004,19,The Peacocks,Active,5/17/1967,"Inglewood, CA",Male,University of California-Santa Barbara; University of Arizona,Geology,Geology,,,3,7344,3,20,"STS-119 (Discovery), ISS-31/32 (Soyuz), ISS-53/54 (Soyuz)",,
312,Richard R. Arnold II ,2004,19,The Peacocks,Active,11/26/1963,"Cheverly, MD",Male,Frostburg State University; University of Maryland,Accounting,Environmental Science,,,2,5016,2,12,STS-119 (Discovery); ISS-55/56 (Soyuz),,
313,Randolph J. Bresnik,2004,19,The Peacocks,Active,9/11/1967,"Fort Knox, KY",Male,The Citadel; University of Tennessee-Knoxville,Mathematics,Aviation Systems,Colonel,US Marine Corps,2,3595,5,32,STS-129 (Atlantis); ISS-52/53 (Soyuz),,
314,Christopher J. Cassidy,2004,19,The Peacocks,Active,1/4/1970,"Salem, MA",Male,US Naval Academy; MIT,Mathematics,Ocean Engineering,Commander,US Navy,3,4376,6,31,STS-127 (Endeavor); ISS-35/36 (Soyuz); ISS-63 (Soyuz) (in space at the time this dataset was edited),,
315,James P. Dutton Jr. ,2004,19,The Peacocks,Retired,11/20/1968,"Eugene, OR",Male,US Air Force Academy; University of Washington,Astronautical Engineering,Aeronautics & Astronautics,Colonel,US Air Force,1,362,0,0,STS-131 (Discovery),,
316,Jose M. Hernandez,2004,19,The Peacocks,Retired,8/7/1962,"French Camp, CA",Male,University of the Pacific; University of California-Santa Barbara,Electrical Engineering,Electrical & Computer Engineering,,,1,332,0,0,STS-128 (Discovery),,
317,Robert Shane Kimbrough,2004,19,The Peacocks,Active,6/4/1967,"Killeen, TX",Male,US Military Academy; Georgia Institute of Technology,Aerospace Engineering,Operations Research,Colonel,US Army,2,4536,6,39,"STS-126 (Endeavor), ISS-49/50 (Soyuz)",,
318,Thomas H. Marshburn,2004,19,The Peacocks,Active,8/29/1960,"Statesville, NC",Male,Davidson College; University of Virginia; Wake Forest University; University of Texas Medical Branch-Galveston,Physics,Engineering Physics; Medicine; Medical Science,,,2,3871,4,24,"STS-127 (Endeavor), ISS-34/35 (Soyuz)",,
319,Dorothy M. Metcalf-Lindenberger,2004,19,The Peacocks,Retired,5/2/1975,"Colorado Springs, CO",Female,Whitman College,Geology,,,,1,362,0,0,STS-131 (Discovery),,
320,Robert L. Satcher Jr. ,2004,19,The Peacocks,Retired,9/22/1965,"Hampton, VA",Male,MIT; Harvard University,Chemical Engineering,Chemical Engineering; Medicine,,,1,259,2,12,STS-129 (Atlantis),,
321,Shannon Walker,2004,19,The Peacocks,Active,6/4/1965,"Houston, TX",Female,Rice University,Space Physics,Space Physics,,,1,3919,0,0,ISS-24/25 (Soyuz),,
322,Serena M. Aunon,2009,20,The Chumps,Management,4/9/1976,"Indianapolis, IN",Female,George Washington University; University of Texas,Electrical Engineering,Medicine,,,1,4728,0,0,ISS-56/57 (Soyuz),,
323,Jeanette J. Epps,2009,20,The Chumps,Active,11/3/1970,"Syracuse, NY",Female,LeMoyne College; University of Maryland,Physics,Aerospace Engineering,,,0,0,0,0,,,
324,Jack D. Fischer,2009,20,The Chumps,Retired,1/23/1974,"Louisville, CO",Male,US Air Force Academy; MIT,Astronautical Engineering,Aeronautics & Astronautics,,,1,3264,2,7,ISS-51/52 (Soyuz),,
325,Michael S. Hopkins,2009,20,The Chumps,Active,12/28/1968,"Lebanon, MO",Male,University of Illinois; Stanford University,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force,1,3990,2,13,ISS-37/38 (Soyuz),,
326,Kjell N. Lindgren,2009,20,The Chumps,Active,1/23/1973,"Taipei, Taiwan",Male,US Air Force Academy; University of Colorado; Colorado State University; University of Minnesota; University of Texas Medical Branch-Galveston,Biology,Medicine; Cardiovascular Physiology; Health Informatics; Public Health,,,1,3400,2,15,ISS-44/45 (Soyuz),,
327,Kathleen Rubins,2009,20,The Chumps,Active,10/14/1978,"Farmington, CT",Female,University of California-San Diego; Stanford University,Molecular Biology,Cancer Biology,,,1,2762,2,13,ISS-48/49 (Soyuz),,
328,Scott D. Tingle,2009,20,The Chumps,Active,7/19/1965,"Attleboro, MA",Male,Southeastern Massachusetts University; Purdue University,Mechanical Engineering,Mechanical Engineering,Commander,US Navy,1,4032,1,7,ISS-54/55 (Soyuz),,
329,Mark T. Vande Hei,2009,20,The Chumps,Active,11/10/1966,"Falls Church, VA",Male,Saint Johns University; Stanford University,Physics,Applied Physics,Colonel,US Army,1,4032,4,27,ISS-53/54 (Soyuz),,
330,G. Reid Wiseman,2009,20,The Chumps,Active,11/11/1975,"Baltimore, MD",Male,Rensselaer Polytechnic Institute; Johns Hopkins University,Computer & Systems Engineering,Systems Engineering,Commander,US Navy,1,3968,2,13,ISS-40/41 (Soyuz),,
331,Josh A. Cassada,2013,21,The 8 Balls,Active,7/18/1973,"San Diego, CA",Male,Albion College; University of Rochester,Physics,Physics,Commander,US Navy,0,0,0,0,,,
332,Victor J. Glover,2013,21,The 8 Balls,Active,4/30/1976,"Pomona, CA",Male,California Polytechnic Institute; Air University; Naval Postgraduate School,Engineering,Flight Test Engineering; Systems Engineering; Military Operational Art and Science,Commander,US Navy,0,0,0,0,,,
333,Nick Hague,2013,21,The 8 Balls,Active,9/24/1975,"Belleville, KS",Male,US Air Force Academy; MIT,Astronautical Engineering,Aeronautical & Astronautical Engineering,Colonel,US Air Force,2,4872,3,20,ISS-57/58 (Soyuz) (Aborted); ISS-59/60 (Soyuz),,
334,Christina Hammock Koch,2013,21,The 8 Balls,Active,1/29/1979,"Grand Rapids, MI",Female,North Carolina State University,Electrical Engineering; Physics,Electrical Engineering,,,1,7872,6,42,ISS-59/60/61 (Soyuz),,
335,Nicole A. Mann,2013,21,The 8 Balls,Active,6/27/1977,"Petaluma, CA",Female,US Naval Academy; Stanford University,Mechanical Engineering,Mechanical  Engineering,Lieutenant Colonel,US Marine Corps,0,0,0,0,,,
336,Anne C. McClain,2013,21,The 8 Balls,Active,6/7/1979,"Spokane, WA",Female,US Military Academy; University of Bath; University of Bristol,Mechanical & Aeronautical Engineering,Aerospace Engineering; International Relations,Lieutenant Colonel,US Army,1,4896,2,13,ISS-58/59 (Soyuz),,
337,Jessica U. Meir,2013,21,The 8 Balls,Active,7/1/1977,"Caribou, MA",Female,Brown University; International Space University; Scripps Institution of Oceanography,Biology,Space Studies; Marine Biology,,,1,4920,3,22,ISS-61/62 (Soyuz),,
338,Andrew R. Morgan,2013,21,The 8 Balls,Active,2/5/1976,"Morgantown, WV",Male,US Military Academy; Uniformed Services University of the Health Sciences,Environmental Engineering,Medicine,Colonel,US Army,1,6528,7,46,ISS-60/61/62 (Soyuz),,
339,Kayla Barron,2017,22,The Turtles,Active,9/19/1987,"Pocatello, ID",Female,US Naval Academy; University of Cambridge,Systems Engineering,Nuclear Engineering,Lieutenant,US Navy,0,0,0,0,,,
340,Zena Cardman,2017,22,The Turtles,Active,10/26/1987,"Urbana, IL",Female,University of North Carolina; Marine Sciences,Biology,Marine Sciences,,,0,0,0,0,,,
341,Raya Chari,2017,22,The Turtles,Active,6/24/1977,"Milwaukee, WI",Male,US Air Force Academy; MIT,Astronautical Engineering,Aeronautics & Astronautics,Colonel,US Air Force,0,0,0,0,,,
342,Matthew Dominick,2017,22,The Turtles,Active,12/7/1981,"Wheat Ridge, CO",Male,University of San Diego; Naval Postgraduate School,Electrical Engineering,Systems Engineering,Lieutenant Commander,US Navy,0,0,0,0,,,
343,Bob Hines,2017,22,The Turtles,Active,1/11/1975,"Fayetteville, NC",Male,Boston University; US Air Force Test Pilot School; University of Alabama,Aerospace Engineering,Flight Test Engineering; Aerospace Engineering,Second Lieutenant,US Air Force Reserves (Retired),0,0,0,0,,,
344,Warren Hoburg,2017,22,The Turtles,Active,9/16/1985,"Pittsburgh, PA",Male,MIT; University of California-Berkeley,Aeronautics & Astronautics,Electrical Engineering,,,0,0,0,0,,,
345,Jonny Kim,2017,22,The Turtles,Active,2/5/1984,"Los Angeles, CA",Male,University of San Diego; Harvard Medical School,Mathematics,Medicine,Lieutenant,US Navy,0,0,0,0,,,
346,Jasmin Moghbeli,2017,22,The Turtles,Active,6/24/1983,"Bad Nauheim, Germany",Female,MIT; Naval Postgraduate School,Aerospace Engineering with Information Technology,Aerospace Engineering,Major,US Marine Corps,0,0,0,0,,,
347,Loral OHara,2017,22,The Turtles,Active,5/3/1983,"Houston, TX",Female,University of Kansas; Purdue University,Aerospace Engineering,Aeronautics and Astronautics,,,0,0,0,0,,,
348,Frank Rubio,2017,22,The Turtles,Active,12/11/1975,"Los Angeles, CA",Male,US Military Academy; Uniformed Services University of the Health Sciences,International Relations,Medicine,Second Lieutenant,US Army (Retired),0,0,0,0,,,
349,Jessica Watkins,2017,22,The Turtles,Active,5/14/1988,"Gaithersburg, MD",Female,Stanford University; University of California-Los Angeles,Geological and Environmental Sciences,Geology,,,0,0,0,0,,,
350,Loren W. Acton,,payload_specialist,Payload Specialists,Retired,3/7/1936,"Lewiston, MT",Male,Montana State University; University of Colorado,Engineering Physics,Solar Physics,,,1,190,0,0,STS 51-F (Challenger),,
351,John-David F. Bartoe,,payload_specialist,Payload Specialists,Retired,11/17/1944,"Abington, PA",Male,Lehigh University; Georgetown University,Physics,Physics,,,1,190,0,0,STS 51-F (Challenger),,
352,Jay Clark Buckey,,payload_specialist,Payload Specialists,Retired,6/6/1956,"New York, NY",Male,Cornell University,Electrical Engineering,Medicine,,,1,381,0,0,STS-90 (Columbia),,
353,Robert Cenker,,payload_specialist,Payload Specialists,Retired,11/5/1948,"Uniontown, PA",Male,Pennsylvania State University; Rutgers University,Aerospace Engineering,Aerospace Engineering; Electrical Engineering,,,1,146,0,0,STS 61-C (Columbia),,
354,Roger K. Crouch,,payload_specialist,Payload Specialists,Retired,9/12/1940,"Jamestown, TN",Male,Tennessee Polytechnic Institute; Virginia Polytechnic Institute,Physics,Physics,,,1,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)",,
355,Lawrence J. Delucas,,payload_specialist,Payload Specialists,Retired,7/11/1950,"Syracuse, NY",Male,University of Alabama at Birmingham,Chemistry; Physiological Optics,Chemistry; Biochemistry; Optometry,,,1,331,0,0,STS-50 (Columbia),,
356,Samuel T. Durrance,,payload_specialist,Payload Specialists,Retired,9/17/1943,"Tallahassee, FL",Male,California State University; University of Colorado,Physics,Physics; Astrogeophysics,,,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)",,
357,Martin J. Fettman,,payload_specialist,Payload Specialists,Retired,12/31/1956,"Brooklyn, NY",Male,Cornell University; Colorado State University,Animal Nutrition,Physiology,,,1,336,0,0,STS-58 (Columbia),,
358,F. Andrew Gaffney,,payload_specialist,Payload Specialists,Retired,6/9/1946,"Carlsbad, NM",Male,University of California-Berkeley; University of New Mexico,Psychology,Medicine,,,1,218,0,0,STS-40 (Columbia),,
359,Jake Garn,,payload_specialist,Payload Specialists,Retired,10/12/1932,Richfield. UT,Male,University of Utah,Business Finance,,,,1,167,0,0,STS 51-D (Discovery),,
360,Thomas J. Hennen,,payload_specialist,Payload Specialists,Retired,8/17/1952,"Albany, GA",Male,,,,Chief Warrant Officer,US Army (Retired),1,166,0,0,STS-44 (Atlantis),,
361,Millie Hughes-Fulford,,payload_specialist,Payload Specialists,Retired,12/21/1945,"Mineral Wells, TX",Female,Tarleton State University; Texas Womans University,Chemistry & Biology,,,,1,218,0,0,STS-40 (Columbia),,
362,Gregory B. Jarvis,,payload_specialist,Payload Specialists,Deceased,8/24/1944,"Detroit, MI",Male,State University of New York at Buffalo; Northeastern University,Electrical Engineering,Electrical Engineering,,,1,0,0,0,STS 51-L (Challenger),1/28/1986,STS 51-L (Challenger)
366,S. Christa McAuliffe,,payload_specialist,Payload Specialists,Deceased,9/2/1948,"Boston, MA",Female,Framingham State College; Bowie State College,Education,Education,,,1,0,0,0,STS 51-L (Challenger),1/28/1986,STS 51-L (Challenger)
363,Fred W. Leslie,,payload_specialist,Payload Specialists,Retired,12/19/1951,"Ancon, Panama",Male,University of Texas; University of Oklahoma,Engineering Science,Meteorology,,,1,381,0,0,STS-73 (Columbia),,
364,Byron K. Lichtenberg,,payload_specialist,Payload Specialists,Retired,2/19/1948,"Stroudsburg, PA",Male,Brown University; MIT,Aerospace Engineering,Mechanical Engineering; Biomedical Engineering,,,2,461,0,0,"STS-9 (Columbia), STS-45 (Atlantis)",,
365,Gregory T. Linteris,,payload_specialist,Payload Specialists,Retired,10/4/1957,"Demarest, NJ",Male,Princeton University; Stanford University,Chemical Engineering,Mechanical Engineering; Mechanical & Aerospace Engineering,,,2,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)",,
367,Bill Nelson,,payload_specialist,Payload Specialists,Retired,9/29/1942,"Miami, FL",Male,Yale University; University of Virginia,,Law,Captain,US Army (Retired),1,146,0,0,STS 61-C (Columbia),,
368,William A. Pailes,,payload_specialist,Payload Specialists,Retired,6/26/1952,"Hackensack, NJ",Male,US Air Force Academy; Texas A&M University,Computer Science,Computer Science,Colonel,US Air Force (Retired),1,97,0,0,STS 51-J (Atlantis),,
369,Ronald A. Parise,,payload_specialist,Payload Specialists,Deceased,5/24/1951,"Warren, OH",Male,Youngstown State University; University of Florida,Physics,Astronomy,,,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)",5/9/2008,
370,James A. Pawelczyk,,payload_specialist,Payload Specialists,Retired,9/20/1960,"Buffalo, NY",Male,University of Rochester; Pennsylvania State University; University of North Texas,Biology & Psychology,Physiology; Biology,,,1,381,0,0,STS-90 (Columbia),,
371,Gary E. Payton,,payload_specialist,Payload Specialists,Retired,6/20/1948,"Rock Island, IL",Male,US Air Force Academy; Purdue University,Astronautical Engineering,Astronautical & Aeronautical Engineering,Major,US Air Force,1,73,0,0,STS 51-C (Discovery),,
372,Albert Sacco Jr.,,payload_specialist,Payload Specialists,Retired,5/3/1949,"Boston, MA",Male,Northeastern University; MIT,Chemical Engineering,Chemical Engineering,,,1,381,0,0,STS-73 (Columbia),,
373,Paul D. Scully-Power,,payload_specialist,Payload Specialists,Retired,5/28/1944,"Sydney, Australia",Male,University of Sydney,Applied Mathematics,,,,1,197,0,0,STS 41-G (Challenger),,
374,Lodewijk van den Berg,,payload_specialist,Payload Specialists,Retired,3/24/1932,"Sluiskil, Netherlands",Male,Delft University of Technology; University of Delaware,Chemical Engineering,Applied Science,,,1,168,0,0,STS 51-B (Challenger),,
375,Charles D. Walker,,payload_specialist,Payload Specialists,Retired,8/29/1948,"Bedford, IN",Male,Purdue University,Aeronautical & Astronautical Engineering,,,,3,477,0,0,"STS 41-D (Discovery), STS 51-D (Discovery), STS 61-B (Atlantis)",,
376,Taylor G. Wang,,payload_specialist,Payload Specialists,Retired,6/16/1940,"Jiangxi, China",Male,University of California-Los Angeles,Physics,Physics,,,1,168,0,0,STS 51-B (Challenger),,